==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.0002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=50, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset market1501
Dataset normal
=> Market1501 loaded
Dataset statistics:
  ==============================
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ==============================
Initializing model: resnet50
Model size: 25.04683M
==> Start training
Epoch: [4][40/93]	Time 0.295 (0.331)	Data 0.153 (0.171)	Loss 8.2278 (7.5001)	CLoss 6.6785 (6.6044)	MLoss 1.5494 (0.8957)	
Epoch: [4][50/93]	Time 0.295 (0.325)	Data 0.153 (0.168)	Loss 7.6528 (7.4681)	CLoss 6.5841 (6.6034)	MLoss 1.0687 (0.8647)	
Epoch: [4][60/93]	Time 0.295 (0.320)	Data 0.153 (0.166)	Loss 7.0228 (7.4312)	CLoss 6.7361 (6.6129)	MLoss 0.2867 (0.8182)	
Epoch: [4][70/93]	Time 0.300 (0.317)	Data 0.150 (0.164)	Loss 7.1026 (7.4226)	CLoss 6.5937 (6.6210)	MLoss 0.5089 (0.8015)	
Epoch: [4][80/93]	Time 0.293 (0.315)	Data 0.151 (0.163)	Loss 7.3323 (7.4240)	CLoss 6.6115 (6.6246)	MLoss 0.7208 (0.7994)	
Epoch: [4][90/93]	Time 0.295 (0.313)	Data 0.152 (0.161)	Loss 6.8423 (7.4282)	CLoss 6.4674 (6.6271)	MLoss 0.3749 (0.8011)	
Epoch: [5][10/93]	Time 0.321 (0.307)	Data 0.176 (0.153)	Loss 6.6685 (7.0888)	CLoss 6.4711 (6.5657)	MLoss 0.1974 (0.5232)	
Epoch: [5][20/93]	Time 0.305 (0.306)	Data 0.157 (0.155)	Loss 7.7298 (7.1984)	CLoss 6.6775 (6.5646)	MLoss 1.0523 (0.6338)	
Epoch: [5][30/93]	Time 0.312 (0.308)	Data 0.158 (0.156)	Loss 7.3386 (7.2090)	CLoss 6.5829 (6.5685)	MLoss 0.7557 (0.6405)	
Epoch: [5][40/93]	Time 0.305 (0.306)	Data 0.157 (0.155)	Loss 6.6983 (7.2135)	CLoss 6.5190 (6.5722)	MLoss 0.1793 (0.6413)	
Epoch: [5][50/93]	Time 0.355 (0.310)	Data 0.187 (0.157)	Loss 6.8194 (7.2306)	CLoss 6.4797 (6.5817)	MLoss 0.3397 (0.6490)	
Epoch: [5][60/93]	Time 0.302 (0.310)	Data 0.155 (0.158)	Loss 7.7357 (7.2505)	CLoss 6.7167 (6.5894)	MLoss 1.0190 (0.6611)	
Epoch: [5][70/93]	Time 0.298 (0.309)	Data 0.153 (0.157)	Loss 7.1603 (7.2575)	CLoss 6.5622 (6.5938)	MLoss 0.5982 (0.6637)	
Epoch: [5][80/93]	Time 0.304 (0.308)	Data 0.156 (0.156)	Loss 7.2232 (7.2480)	CLoss 6.6050 (6.5994)	MLoss 0.6182 (0.6486)	
Epoch: [5][90/93]	Time 0.299 (0.307)	Data 0.151 (0.156)	Loss 7.5463 (7.2388)	CLoss 6.5661 (6.6023)	MLoss 0.9802 (0.6366)	
Epoch: [6][10/93]	Time 0.303 (0.290)	Data 0.152 (0.143)	Loss 7.1146 (7.0872)	CLoss 6.5185 (6.5303)	MLoss 0.5961 (0.5569)	
Epoch: [6][20/93]	Time 0.295 (0.297)	Data 0.147 (0.149)	Loss 7.1329 (7.1735)	CLoss 6.7415 (6.5491)	MLoss 0.3914 (0.6244)	
Epoch: [6][30/93]	Time 0.295 (0.298)	Data 0.151 (0.150)	Loss 7.2995 (7.1251)	CLoss 6.6133 (6.5539)	MLoss 0.6861 (0.5712)	
Epoch: [6][40/93]	Time 0.293 (0.298)	Data 0.148 (0.151)	Loss 6.8275 (7.0939)	CLoss 6.5770 (6.5620)	MLoss 0.2505 (0.5319)	
Epoch: [6][50/93]	Time 0.293 (0.299)	Data 0.150 (0.151)	Loss 7.1550 (7.1096)	CLoss 6.5807 (6.5633)	MLoss 0.5743 (0.5463)	
Epoch: [6][60/93]	Time 0.319 (0.299)	Data 0.152 (0.152)	Loss 6.6112 (7.1187)	CLoss 6.4964 (6.5690)	MLoss 0.1148 (0.5498)	
Epoch: [6][70/93]	Time 0.320 (0.302)	Data 0.170 (0.153)	Loss 6.8836 (7.1109)	CLoss 6.5605 (6.5736)	MLoss 0.3231 (0.5374)	
