==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='dukemtmcreid', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'softmax', 'metric'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset dukemtmcreid
=> DukeMTMC-reID loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   702 |    16522
  query    |   702 |     2228
  gallery  |  1110 |    17661
  ------------------------------
  total    |  1404 |    36411
  ------------------------------
Initializing model: resnet50
Model size: 24.94643M
==> Start training
Epoch: [4][60/87]	Time 0.331 (0.325)	Data 0.180 (0.175)	Loss 7.0126 (6.9593F)	CLoss 6.7689 (6.6385)	MLoss 0.2438 (0.3209)	
Epoch: [4][70/87]	Time 0.322 (0.324)	Data 0.178 (0.175)	Loss 7.1999 (6.9739F)	CLoss 6.7662 (6.6526)	MLoss 0.4338 (0.3213)	
Epoch: [4][80/87]	Time 0.312 (0.323)	Data 0.168 (0.175)	Loss 7.0124 (6.9888F)	CLoss 6.7531 (6.6668)	MLoss 0.2593 (0.3220)	
Epoch: [5][10/87]	Time 0.308 (0.304)	Data 0.168 (0.161)	Loss 6.9433 (6.8749F)	CLoss 6.5730 (6.5516)	MLoss 0.3703 (0.3233)	
Epoch: [5][20/87]	Time 0.307 (0.306)	Data 0.169 (0.164)	Loss 6.8570 (6.8928F)	CLoss 6.5628 (6.5651)	MLoss 0.2942 (0.3277)	
Epoch: [5][30/87]	Time 0.311 (0.308)	Data 0.170 (0.167)	Loss 6.8988 (6.8943F)	CLoss 6.6251 (6.5786)	MLoss 0.2736 (0.3157)	
Epoch: [5][40/87]	Time 0.312 (0.309)	Data 0.170 (0.168)	Loss 6.9832 (6.9040F)	CLoss 6.6697 (6.5943)	MLoss 0.3135 (0.3096)	
Epoch: [5][50/87]	Time 0.323 (0.310)	Data 0.184 (0.168)	Loss 7.0268 (6.9266F)	CLoss 6.6858 (6.6103)	MLoss 0.3410 (0.3164)	
Epoch: [5][60/87]	Time 0.308 (0.310)	Data 0.171 (0.169)	Loss 7.0182 (6.9406F)	CLoss 6.7121 (6.6272)	MLoss 0.3060 (0.3134)	
Epoch: [5][70/87]	Time 0.317 (0.310)	Data 0.168 (0.169)	Loss 7.1120 (6.9542F)	CLoss 6.7670 (6.6427)	MLoss 0.3450 (0.3115)	
Epoch: [5][80/87]	Time 0.311 (0.310)	Data 0.170 (0.169)	Loss 7.0272 (6.9654F)	CLoss 6.7490 (6.6569)	MLoss 0.2781 (0.3085)	
Epoch: [6][10/87]	Time 0.312 (0.304)	Data 0.173 (0.161)	Loss 6.8566 (6.8478F)	CLoss 6.5532 (6.5525)	MLoss 0.3034 (0.2953)	
Epoch: [6][20/87]	Time 0.308 (0.308)	Data 0.170 (0.166)	Loss 6.9317 (6.8530F)	CLoss 6.6067 (6.5627)	MLoss 0.3249 (0.2903)	
Epoch: [6][30/87]	Time 0.310 (0.310)	Data 0.168 (0.168)	Loss 6.8648 (6.8609F)	CLoss 6.5952 (6.5743)	MLoss 0.2696 (0.2865)	
Epoch: [6][40/87]	Time 0.329 (0.310)	Data 0.183 (0.169)	Loss 6.9633 (6.8833F)	CLoss 6.6522 (6.5922)	MLoss 0.3111 (0.2911)	
Epoch: [6][50/87]	Time 0.310 (0.311)	Data 0.171 (0.169)	Loss 6.9519 (6.9047F)	CLoss 6.6872 (6.6074)	MLoss 0.2648 (0.2973)	
Epoch: [6][60/87]	Time 0.307 (0.311)	Data 0.167 (0.170)	Loss 7.0993 (6.9206F)	CLoss 6.7270 (6.6229)	MLoss 0.3723 (0.2977)	
Epoch: [6][70/87]	Time 0.308 (0.312)	Data 0.169 (0.170)	Loss 6.9819 (6.9346F)	CLoss 6.7217 (6.6374)	MLoss 0.2601 (0.2971)	
Epoch: [6][80/87]	Time 0.318 (0.312)	Data 0.176 (0.170)	Loss 6.9717 (6.9482F)	CLoss 6.7565 (6.6517)	MLoss 0.2152 (0.2966)	
Epoch: [7][10/87]	Time 0.323 (0.303)	Data 0.170 (0.161)	Loss 6.7667 (6.8342F)	CLoss 6.5430 (6.5546)	MLoss 0.2237 (0.2796)	
Epoch: [7][20/87]	Time 0.320 (0.307)	Data 0.180 (0.166)	Loss 6.8715 (6.8320F)	CLoss 6.5710 (6.5600)	MLoss 0.3005 (0.2720)	
Epoch: [7][30/87]	Time 0.308 (0.307)	Data 0.170 (0.166)	Loss 6.9032 (6.8520F)	CLoss 6.6121 (6.5756)	MLoss 0.2912 (0.2764)	
Epoch: [7][40/87]	Time 0.308 (0.308)	Data 0.170 (0.167)	Loss 7.0312 (6.8764F)	CLoss 6.6588 (6.5886)	MLoss 0.3724 (0.2878)	
Epoch: [7][50/87]	Time 0.308 (0.310)	Data 0.167 (0.168)	Loss 6.9769 (6.8992F)	CLoss 6.6797 (6.6046)	MLoss 0.2972 (0.2945)	
