==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=True, dataset='chuk03', eval_step=50, evaluate=False, gamma=0.1, gpu_devices='0', height=256, htri_only=False, labelsmooth=False, loss_type={'metric', 'softmax'}, lr=0.002, margin=0.3, max_epoch=150, num_instances=4, optim='sgd', print_freq=10, reranking=False, resume='', root='E:\\WorkSpace\\Datasets', save_dir='./log/Cuhk03/softmax_metric', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_decay=0.0005, width=128, workers=0)
==========
Currently using GPU 0
Initializing dataset chuk03
Note: if root path is changed, the previously generated json files need to be re-generated (delete them first)
Split index = 0
=> CUHK03 (labeled) loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   767 |     7368
  query    |   700 |     1400
  gallery  |   700 |     5328
  ------------------------------
  total    |  1467 |     8768
  ------------------------------
Initializing model: resnet50
Model size: 25.07962M
==> Start training
Epoch: [4][30/95]	Time 0.337 (0.339)	Data 0.192 (0.190)	Loss 6.8735 (6.8679)	CLoss 6.7106 (6.6451)	MLoss 0.1628 (0.2227)	
Epoch: [4][40/95]	Time 0.334 (0.339)	Data 0.188 (0.190)	Loss 7.2346 (6.9092)	CLoss 6.8243 (6.6713)	MLoss 0.4103 (0.2379)	
Epoch: [4][50/95]	Time 0.320 (0.339)	Data 0.176 (0.190)	Loss 7.0826 (6.9299)	CLoss 6.8195 (6.6968)	MLoss 0.2630 (0.2331)	
Epoch: [4][60/95]	Time 0.347 (0.340)	Data 0.201 (0.191)	Loss 7.1150 (6.9544)	CLoss 6.8792 (6.7187)	MLoss 0.2358 (0.2357)	
Epoch: [4][70/95]	Time 0.341 (0.340)	Data 0.192 (0.191)	Loss 7.1627 (6.9893)	CLoss 6.9573 (6.7453)	MLoss 0.2054 (0.2440)	
Epoch: [4][80/95]	Time 0.332 (0.340)	Data 0.181 (0.191)	Loss 7.1134 (7.0103)	CLoss 6.9332 (6.7666)	MLoss 0.1802 (0.2437)	
Epoch: [4][90/95]	Time 0.341 (0.340)	Data 0.192 (0.191)	Loss 7.0850 (7.0320)	CLoss 6.9730 (6.7872)	MLoss 0.1120 (0.2449)	
Epoch: [5][10/95]	Time 0.344 (0.333)	Data 0.196 (0.185)	Loss 6.8745 (6.8792)	CLoss 6.6215 (6.6084)	MLoss 0.2530 (0.2709)	
Epoch: [5][20/95]	Time 0.329 (0.334)	Data 0.182 (0.186)	Loss 6.8267 (6.8251)	CLoss 6.6420 (6.6109)	MLoss 0.1847 (0.2143)	
Epoch: [5][30/95]	Time 0.331 (0.335)	Data 0.180 (0.187)	Loss 7.2709 (6.8674)	CLoss 6.6686 (6.6304)	MLoss 0.6023 (0.2370)	
Epoch: [5][40/95]	Time 0.339 (0.337)	Data 0.191 (0.187)	Loss 7.0641 (6.8751)	CLoss 6.7012 (6.6515)	MLoss 0.3629 (0.2236)	
Epoch: [5][50/95]	Time 0.339 (0.337)	Data 0.189 (0.188)	Loss 6.9973 (6.8832)	CLoss 6.7709 (6.6739)	MLoss 0.2263 (0.2094)	
Epoch: [5][60/95]	Time 0.318 (0.337)	Data 0.171 (0.188)	Loss 7.1104 (6.9023)	CLoss 6.8059 (6.6941)	MLoss 0.3045 (0.2082)	
Epoch: [5][70/95]	Time 0.340 (0.337)	Data 0.189 (0.188)	Loss 7.1504 (6.9301)	CLoss 6.8595 (6.7147)	MLoss 0.2909 (0.2154)	
Epoch: [5][80/95]	Time 0.336 (0.337)	Data 0.191 (0.189)	Loss 7.1355 (6.9392)	CLoss 6.8984 (6.7330)	MLoss 0.2371 (0.2062)	
Epoch: [5][90/95]	Time 0.339 (0.338)	Data 0.189 (0.189)	Loss 7.0602 (6.9557)	CLoss 6.8852 (6.7552)	MLoss 0.1750 (0.2006)	
Epoch: [6][10/95]	Time 0.340 (0.331)	Data 0.187 (0.179)	Loss 6.5712 (6.6951)	CLoss 6.4910 (6.5479)	MLoss 0.0802 (0.1471)	
Epoch: [6][20/95]	Time 0.334 (0.334)	Data 0.183 (0.183)	Loss 7.3817 (6.7598)	CLoss 6.6663 (6.5734)	MLoss 0.7154 (0.1864)	
Epoch: [6][30/95]	Time 0.350 (0.335)	Data 0.204 (0.185)	Loss 6.6989 (6.7715)	CLoss 6.6294 (6.5916)	MLoss 0.0695 (0.1799)	
Epoch: [6][40/95]	Time 0.329 (0.336)	Data 0.177 (0.186)	Loss 7.1263 (6.7848)	CLoss 6.7303 (6.6135)	MLoss 0.3960 (0.1713)	
Epoch: [6][50/95]	Time 0.342 (0.336)	Data 0.196 (0.186)	Loss 6.8401 (6.8167)	CLoss 6.8121 (6.6397)	MLoss 0.0280 (0.1770)	
Epoch: [6][60/95]	Time 0.335 (0.336)	Data 0.187 (0.187)	Loss 7.2170 (6.8365)	CLoss 6.8418 (6.6608)	MLoss 0.3751 (0.1756)	
Epoch: [6][70/95]	Time 0.331 (0.336)	Data 0.183 (0.187)	Loss 6.9403 (6.8628)	CLoss 6.8306 (6.6834)	MLoss 0.1098 (0.1795)	
Epoch: [6][80/95]	Time 0.338 (0.336)	Data 0.191 (0.187)	Loss 6.9766 (6.8821)	CLoss 6.8510 (6.7049)	MLoss 0.1257 (0.1771)	
Epoch: [6][90/95]	Time 0.335 (0.336)	Data 0.189 (0.187)	Loss 7.0644 (6.9019)	CLoss 6.8863 (6.7247)	MLoss 0.1781 (0.1773)	
Epoch: [7][10/95]	Time 0.329 (0.329)	Data 0.183 (0.182)	Loss 6.7328 (6.6630)	CLoss 6.4871 (6.5417)	MLoss 0.2457 (0.1213)	
Epoch: [7][20/95]	Time 0.335 (0.332)	Data 0.184 (0.184)	Loss 6.6220 (6.6707)	CLoss 6.5525 (6.5370)	MLoss 0.0695 (0.1337)	
Epoch: [7][30/95]	Time 0.341 (0.335)	Data 0.195 (0.187)	Loss 6.8986 (6.6946)	CLoss 6.6126 (6.5580)	MLoss 0.2860 (0.1366)	
Epoch: [7][40/95]	Time 0.337 (0.336)	Data 0.186 (0.187)	Loss 6.8558 (6.7321)	CLoss 6.6304 (6.5784)	MLoss 0.2254 (0.1537)	
